Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_2,Recall_2,F1_2,Precision_3,Recall_3,F1_3,Precision_4,Recall_4,F1_4,Precision_5,Recall_5,F1_5,Precision_6,Recall_6,F1_6,Precision_7,Recall_7,F1_7,Precision_8,Recall_8,F1_8,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg
Random Forest,combined_5000_packets.csv,5000,0.831,0.694,0.831,0.832,0.692,0.831,0.790,0.714,0.714,0.714,0.500,0.500,0.500,1.000,1.000,1.000,,,,0.000,0.000,0.000,1.000,1.000,1.000,0.929,0.812,0.867,,,,0.700,0.875,0.778,0.692,0.700,0.694,0.838,0.831,0.832
Gradient Boosting,combined_5000_packets.csv,5000,0.847,0.717,0.847,0.839,0.752,0.847,0.810,0.733,0.786,0.759,1.000,0.500,0.667,0.800,1.000,0.889,,,,0.000,0.000,0.000,1.000,0.900,0.947,0.929,0.812,0.867,,,,0.800,1.000,0.889,0.752,0.714,0.717,0.846,0.847,0.839
SVM,combined_5000_packets.csv,5000,0.729,0.537,0.729,0.678,0.520,0.729,0.659,0.750,0.857,0.800,0.500,0.500,0.500,0.000,0.000,0.000,,,,0.000,0.000,0.000,0.526,1.000,0.690,0.867,0.812,0.839,,,,1.000,0.875,0.933,0.520,0.578,0.537,0.655,0.729,0.678
k-NN,combined_5000_packets.csv,5000,0.881,0.762,0.881,0.876,0.760,0.881,0.852,0.722,0.929,0.813,0.667,1.000,0.800,1.000,1.000,1.000,,,,0.000,0.000,0.000,1.000,1.000,1.000,0.929,0.812,0.867,,,,1.000,0.750,0.857,0.760,0.784,0.762,0.886,0.881,0.876
Logistic Regression,combined_5000_packets.csv,5000,0.847,0.699,0.847,0.849,0.696,0.847,0.811,0.857,0.857,0.857,0.500,0.500,0.500,0.889,1.000,0.941,,,,0.000,0.000,0.000,1.000,0.900,0.947,0.929,0.812,0.867,,,,0.700,0.875,0.778,0.696,0.706,0.699,0.857,0.847,0.849
Random Forest,combined_10000_packets.csv,10000,0.750,0.769,0.750,0.745,0.780,0.750,0.684,0.571,0.667,0.615,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,1.000,0.800,0.889,0.778,0.875,0.824,,,,0.333,0.250,0.286,0.780,0.765,0.769,0.749,0.750,0.745
Gradient Boosting,combined_10000_packets.csv,10000,0.714,0.690,0.714,0.709,0.700,0.714,0.644,0.500,0.333,0.400,0.333,1.000,0.500,1.000,1.000,1.000,,,,,,,1.000,0.800,0.889,0.700,0.875,0.778,,,,0.667,0.500,0.571,0.700,0.751,0.690,0.736,0.714,0.709
SVM,combined_10000_packets.csv,10000,0.643,0.450,0.643,0.580,0.430,0.643,0.542,0.667,0.667,0.667,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,0.444,0.800,0.571,0.800,1.000,0.889,,,,0.667,0.500,0.571,0.430,0.494,0.450,0.546,0.643,0.580
k-NN,combined_10000_packets.csv,10000,0.679,0.585,0.679,0.664,0.601,0.679,0.592,0.500,0.333,0.400,0.000,0.000,0.000,1.000,1.000,1.000,,,,,,,0.800,0.800,0.800,0.636,0.875,0.737,,,,0.667,0.500,0.571,0.601,0.585,0.585,0.670,0.679,0.664
Logistic Regression,combined_10000_packets.csv,10000,0.786,0.772,0.786,0.790,0.783,0.786,0.732,1.000,0.667,0.800,0.500,1.000,0.667,1.000,1.000,1.000,,,,,,,1.000,0.800,0.889,0.700,0.875,0.778,,,,0.500,0.500,0.500,0.783,0.807,0.772,0.825,0.786,0.790
